Filename,Label,Wind_Speed_Vw,Num_Samples,Columns,RMS,Kurtosis,Skewness,Peak_to_Peak,Mean,Std
Erosion Fault State-Vw=4.2.csv_aug_1,Erosion,4.2,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0049519083564545695,4.7072652837579625,0.860070079874335,0.03576896851108776,0.00015539727721882647,0.004949469472272515
Erosion Fault State-Vw=4.2.csv_aug_2,Erosion,4.2,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004950168966357263,4.696250152428928,0.8586290097015293,0.03561802024523752,0.0001553782843448921,0.004947729821265563
Erosion fault state-Vw=5.3.csv,Erosion,5.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004499910523465995,4.22485781163151,0.7924600387362092,0.028215999999999998,0.00026039,0.0044923703951366255
Erosion fault state-Vw=5.3.csv_aug_1,Erosion,5.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004503654772479928,4.212454744856938,0.7902189934911041,0.028127928222517796,0.0002619857582039362,0.00449602822190648
Erosion fault state-Vw=5.3.csv_aug_2,Erosion,5.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004500327033116825,4.226931748582865,0.7929437247399644,0.028156431313767168,0.0002583507109207721,0.0044929053312048346
Erosion Fault state-Vw=5.csv,Erosion,5.0,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004531852237633085,3.460373057024332,0.5636075770690728,0.029522,0.00018794099999999998,0.004527953498464732
Erosion Fault state-Vw=5.csv_aug_1,Erosion,5.0,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0045321233052840375,3.4581356108053476,0.5656199311431044,0.029529793944455554,0.00018714357353307777,0.004528257825829264
Erosion Fault state-Vw=5.csv_aug_2,Erosion,5.0,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004530102287775903,3.470510970943858,0.5628552643713898,0.02962329930939481,0.00018532138900543811,0.004526310055717523
H for Vw=2.3.csv,Healthy,2.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0038910187378141782,6.579941216150587,1.2436646056528395,0.029130461,0.0009764491219999998,0.003766506860496403
H for Vw=2.3.csv_aug_1,Healthy,2.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0038919782917060494,6.57443981649076,1.2410872120612346,0.029154598256698035,0.0009781049605893375,0.0037670685830207113
H for Vw=2.3.csv_aug_2,Healthy,2.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0038923535383785218,6.5718695469428825,1.2434053758685473,0.02908077700988019,0.000976729299557204,0.0037678131513006704
H-for Vw=1.3.csv,Healthy,1.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.003345013004756484,4.586579768347629,0.777018084881885,0.023273,0.0008762412,0.003228205904432454
H-for Vw=1.3.csv_aug_1,Healthy,1.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0033459249376339437,4.588425276372721,0.7787277799201451,0.023288886213713167,0.0008765246680805947,0.003229073891153145
H-for Vw=1.3.csv_aug_2,Healthy,1.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0033462068500097366,4.578984686921014,0.7759857664594154,0.023285638054953463,0.0008758574266499226,0.0032295470349933374
H-for-Vw=3.2.csv,Healthy,3.2,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.003925433622149278,5.769978751148494,1.0491752826208423,0.02883,0.0009038466,0.0038199594821893648
H-for-Vw=3.2.csv_aug_1,Healthy,3.2,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.003924651513527763,5.766969698191655,1.0491810689022723,0.028811923851200717,0.0009066364447647685,0.0038184944493425766
H-for-Vw=3.2.csv_aug_2,Healthy,3.2,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0039251840998317696,5.766827456718238,1.0512158024125047,0.028864279175793005,0.0009060157725854534,0.003819189133493983
H-for-Vw=3.7.csv,Healthy,3.7,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0038627419028858245,4.5830584904451435,0.8358342072013459,0.025337,0.0007990602,0.00377919009909345
H-for-Vw=3.7.csv_aug_1,Healthy,3.7,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0038660556280376377,4.5892023034019305,0.8327911377577937,0.025366652354009284,0.0007983742438216096,0.003782721862083408
H-for-Vw=3.7.csv_aug_2,Healthy,3.7,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.003861805049742245,4.587810720960437,0.8353286516009376,0.02533979983921021,0.0007990781943661101,0.0037782287227619378
H-for-Vw=4.5.csv,Healthy,4.5,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.003760098302704997,5.844588298602385,1.384281387916419,0.027536,0.0010764969,0.0036027064368742826
H-for-Vw=4.5.csv_aug_1,Healthy,4.5,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.003756587601032063,5.8305890774770255,1.3812203862718886,0.02755439122116431,0.0010750567707642855,0.0035994726480224433
H-for-Vw=4.5.csv_aug_2,Healthy,4.5,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.003762214482355381,5.831830109311959,1.3839584283747377,0.027528204668260715,0.0010762695589134385,0.0036049828914713096
H-for-Vw=5.csv,Healthy,5.0,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004185421125113338,5.32521155042798,0.8941829576659561,0.030967,0.0009914489000000001,0.004066297956770235
H-for-Vw=5.csv_aug_1,Healthy,5.0,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004183052916999044,5.32330046782225,0.8942756989939769,0.030961377719956305,0.0009921482055518641,0.004063689658996419
H-for-Vw=5.csv_aug_2,Healthy,5.0,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004185698351828449,5.315306175535803,0.8947130819392687,0.03096164631927366,0.0009918059584789014,0.004066496235486409
H-Vw=5.3.csv,Healthy,5.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0036446891866303223,5.618507222092811,0.9722812057561417,0.028758,0.000715417,0.003573784798116837
